time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1510225_c,1510225_h,1510225_r,1510225_s,1510226_c,1510226_h,1510226_r,1510226_s,1510227_c,1510227_h,1510227_r,1510227_s
2023-05-30 19:50:00,,29.8,25.5,27.899999999999995,26.275,27.8,"[24.5, 25.4, 27.4, 27.8]",1.0,29.8,25.7,25.0,1.0,25.5,28.4,28.0,1.0,28.4,27.8,27.0
2023-05-30 19:55:00,,29.8,25.9,28.133333333333336,26.425,28.0,"[24.6, 25.5, 27.6, 28.0]",1.0,29.8,25.7,25.0,1.0,25.9,28.5,28.0,1.0,28.7,28.0,27.0
2023-05-30 20:00:00,,29.8,26.2,28.3,26.525,28.1,"[24.7, 25.5, 27.8, 28.1]",1.0,29.8,25.8,25.0,1.0,26.2,28.8,28.0,1.0,28.9,28.0,27.0
2023-05-30 20:05:00,,29.9,26.5,28.5,26.625,28.2,"[24.7, 25.6, 28.0, 28.2]",1.0,29.9,25.9,25.0,1.0,26.5,28.9,28.0,1.0,29.1,28.2,27.0
2023-05-30 20:10:00,,29.9,26.7,28.63333333333333,26.525,28.0,"[24.7, 25.7, 28.0, 27.7]",1.0,29.9,25.9,25.0,1.0,26.7,29.0,28.0,1.0,29.3,28.0,27.0
2023-05-30 20:15:00,,29.8,25.8,28.23333333333333,26.4,28.0,"[24.7, 25.7, 28.0, 27.2]",1.0,29.8,25.8,25.0,1.0,25.8,28.9,28.0,1.0,29.1,27.8,27.0
2023-05-30 20:20:00,,29.8,25.8,28.133333333333336,26.275,27.9,"[24.7, 25.6, 27.9, 26.9]",1.0,29.8,25.7,25.0,1.0,25.8,28.7,28.0,1.0,28.8,27.7,27.0
2023-05-30 20:25:00,,29.7,25.2,27.8,26.225,27.8,"[24.7, 25.6, 27.8, 26.8]",1.0,29.7,25.6,25.0,1.0,25.2,28.5,28.0,1.0,28.5,27.6,27.0
2023-05-30 20:30:00,,29.7,24.8,27.633333333333336,26.325,27.8,"[24.7, 25.6, 27.8, 27.2]",1.0,29.7,25.7,25.0,1.0,24.8,28.6,28.0,1.0,28.4,27.8,27.0
2023-05-30 20:35:00,,29.7,25.5,27.9,26.325,27.7,"[24.7, 25.5, 27.7, 27.4]",1.0,29.7,25.6,24.0,1.0,25.5,28.5,27.0,1.0,28.5,27.8,26.0
2023-05-30 20:40:00,,29.7,25.5,27.96666666666667,25.55,26.8,"[24.6, 24.5, 26.3, 26.8]",1.0,29.7,25.1,24.0,1.0,25.5,28.1,27.0,1.0,28.7,27.4,26.0
2023-05-30 20:45:00,,29.7,24.6,27.1,24.925,26.4,"[24.5, 23.7, 25.1, 26.4]",1.0,29.7,24.9,24.0,1.0,24.6,28.1,27.0,1.0,27.0,27.1,26.0
2023-05-30 20:50:00,,29.5,24.4,26.96666666666667,24.45,25.9,"[24.4, 23.1, 24.4, 25.9]",1.0,29.5,24.6,24.0,1.0,24.4,27.6,27.0,1.0,27.0,26.8,26.0
2023-05-30 20:55:00,,29.2,23.9,26.466666666666665,24.525,26.0,"[24.3, 23.2, 24.6, 26.0]",1.0,29.2,24.6,24.0,1.0,23.9,27.8,27.0,1.0,26.3,26.7,26.0
2023-05-30 21:00:00,,29.2,23.8,26.433333333333334,24.925,26.0,"[24.3, 23.8, 25.6, 26.0]",1.0,29.2,24.8,24.0,1.0,23.8,28.0,27.0,1.0,26.3,26.8,26.0
2023-05-30 21:05:00,,29.1,24.0,26.6,25.1,26.1,"[24.2, 24.2, 26.1, 25.9]",1.0,29.1,24.8,24.0,1.0,24.0,27.9,27.0,1.0,26.7,26.8,26.0
2023-05-30 21:10:00,,29.1,23.7,26.6,25.3,26.5,"[24.2, 24.5, 26.5, 26.0]",1.0,29.1,25.2,25.0,1.0,23.7,27.9,28.0,1.0,27.0,27.1,27.0
2023-05-30 21:15:00,,29.1,23.6,26.633333333333336,25.95,27.3,"[24.4, 25.2, 26.9, 27.3]",1.0,29.1,25.8,25.0,1.0,23.6,28.6,28.0,1.0,27.2,27.8,27.0
2023-05-30 21:20:00,,29.8,24.8,27.5,26.175,27.6,"[24.5, 25.3, 27.3, 27.6]",1.0,29.8,25.6,25.0,1.0,24.8,28.5,28.0,1.0,27.9,27.8,27.0
2023-05-30 21:25:00,,29.8,25.7,27.96666666666667,26.325,27.8,"[24.6, 25.4, 27.5, 27.8]",1.0,29.8,25.6,25.0,1.0,25.7,28.6,28.0,1.0,28.4,27.8,27.0
2023-05-30 21:30:00,,29.8,26.4,28.23333333333333,26.375,27.9,"[24.6, 25.4, 27.6, 27.9]",1.0,29.8,25.7,25.0,1.0,26.4,29.0,28.0,1.0,28.5,27.9,27.0
2023-05-30 21:35:00,,29.8,26.4,28.3,26.2,27.5,"[24.6, 25.3, 27.5, 27.4]",1.0,29.8,25.4,24.0,1.0,26.4,28.7,27.0,1.0,28.7,27.7,26.0
2023-05-30 21:40:00,,29.6,25.3,27.8,25.425,26.7,"[24.6, 24.4, 26.0, 26.7]",1.0,29.6,24.9,24.0,1.0,25.3,28.3,27.0,1.0,28.5,27.3,26.0
2023-05-30 21:45:00,,29.6,25.3,27.5,24.775,26.2,"[24.5, 23.5, 24.9, 26.2]",1.0,29.6,24.7,24.0,1.0,25.3,27.9,27.0,1.0,27.6,27.0,26.0
2023-05-30 21:50:00,,29.5,24.6,26.96666666666667,24.475,26.0,"[24.4, 23.1, 24.4, 26.0]",1.0,29.5,24.5,24.0,1.0,24.6,27.8,27.0,1.0,26.8,26.7,26.0
2023-05-30 21:55:00,,29.1,24.1,26.46666666666667,24.825,26.2,"[24.3, 23.6, 25.2, 26.2]",1.0,29.1,24.7,24.0,1.0,24.1,28.1,27.0,1.0,26.2,26.8,26.0
2023-05-30 22:00:00,,29.1,24.4,26.666666666666668,25.05,26.0,"[24.2, 24.1, 25.9, 26.0]",1.0,29.1,24.8,24.0,1.0,24.4,28.0,27.0,1.0,26.5,26.8,26.0
2023-05-30 22:05:00,,29.0,23.9,26.566666666666663,25.25,26.3,"[24.2, 24.4, 26.3, 26.1]",1.0,29.0,24.8,25.0,1.0,23.9,28.0,28.0,1.0,26.8,27.1,27.0
2023-05-30 22:10:00,,29.0,23.9,26.9,25.875,27.2,"[24.4, 25.1, 26.8, 27.2]",1.0,29.0,25.6,25.0,1.0,23.9,28.7,28.0,1.0,27.8,27.8,27.0
2023-05-30 22:15:00,,29.8,25.0,27.53333333333333,26.125,27.5,"[24.5, 25.3, 27.2, 27.5]",1.0,29.8,25.6,25.0,1.0,25.0,28.6,28.0,1.0,27.8,27.7,27.0
2023-05-30 22:20:00,,29.8,25.6,27.86666666666667,26.225,27.7,"[24.5, 25.3, 27.4, 27.7]",1.0,29.8,25.6,25.0,1.0,25.6,28.7,28.0,1.0,28.2,27.7,27.0
2023-05-30 22:25:00,,29.7,26.1,28.1,26.35,27.8,"[24.6, 25.4, 27.6, 27.8]",1.0,29.7,25.6,25.0,1.0,26.1,28.7,28.0,1.0,28.5,27.8,27.0
2023-05-30 22:30:00,,29.7,26.4,28.23333333333333,26.4,27.9,"[24.6, 25.4, 27.7, 27.9]",1.0,29.7,25.7,25.0,1.0,26.4,29.1,28.0,1.0,28.6,27.9,27.0
2023-05-30 22:35:00,,29.7,26.7,28.366666666666664,26.225,27.6,"[24.6, 25.3, 27.6, 27.4]",1.0,29.7,24.7,23.0,1.0,26.7,28.6,26.0,1.0,28.7,27.3,25.0
2023-05-30 22:40:00,,29.6,26.2,28.133333333333336,25.15,26.6,"[24.3, 23.8, 25.9, 26.6]",1.0,29.6,23.9,23.0,1.0,26.2,27.7,26.0,1.0,28.6,26.2,25.0
2023-05-30 22:45:00,,28.8,25.3,27.2,24.375,26.0,"[24.0, 22.8, 24.7, 26.0]",1.0,28.8,24.2,23.0,1.0,25.3,27.4,26.0,1.0,27.5,26.2,25.0
2023-05-30 22:50:00,,28.0,24.5,26.366666666666664,23.975,25.7,"[23.8, 22.5, 23.9, 25.7]",1.0,28.0,24.2,23.0,1.0,24.5,27.0,26.0,1.0,26.6,26.2,25.0
2023-05-30 22:55:00,,28.0,23.9,25.933333333333334,23.675,25.4,"[23.7, 22.2, 23.4, 25.4]",1.0,28.0,24.0,23.0,1.0,23.9,26.7,26.0,1.0,25.9,26.0,25.0
2023-05-30 23:00:00,,28.0,23.5,25.633333333333336,23.475,25.3,"[23.7, 21.9, 23.0, 25.3]",1.0,28.0,23.9,23.0,1.0,23.5,26.7,26.0,1.0,25.4,25.9,25.0
2023-05-30 23:05:00,,28.1,23.2,25.433333333333334,23.6,25.9,"[23.6, 21.9, 23.0, 25.9]",1.0,28.1,24.2,25.0,1.0,23.2,26.8,28.0,1.0,25.0,26.2,27.0
2023-05-30 23:10:00,,28.2,23.7,25.666666666666668,24.525,27.1,"[23.9, 23.0, 24.1, 27.1]",1.0,28.2,25.3,25.0,1.0,23.7,27.9,28.0,1.0,25.1,27.3,27.0
2023-05-30 23:15:00,,29.7,25.0,26.933333333333337,25.5,28.1,"[24.2, 24.3, 25.4, 28.1]",1.0,29.7,25.6,25.0,1.0,25.0,28.6,28.0,1.0,26.1,27.9,27.0
2023-05-30 23:20:00,,29.7,26.3,27.73333333333333,25.9,28.1,"[24.4, 24.8, 26.3, 28.1]",1.0,29.7,25.5,25.0,1.0,26.3,28.5,28.0,1.0,27.2,27.8,27.0
2023-05-30 23:25:00,,30.0,26.6,28.33333333333333,26.075,28.1,"[24.5, 24.9, 26.8, 28.1]",1.0,30.0,25.5,25.0,1.0,26.6,28.5,28.0,1.0,28.4,27.8,27.0
2023-05-30 23:30:00,,30.0,26.7,28.366666666666664,26.225,28.1,"[24.5, 25.1, 27.2, 28.1]",1.0,30.0,25.7,25.0,1.0,26.7,28.7,28.0,1.0,28.4,27.9,27.0
2023-05-30 23:45:00,,29.8,27.1,28.700000000000003,26.025,28.3,"[24.7, 24.6, 26.5, 28.3]",1.0,29.8,25.6,24.0,1.0,27.1,28.2,28.0,1.0,29.2,28.0,26.0
2023-05-30 23:50:00,,29.8,27.2,28.4,25.6,28.4,"[24.7, 23.9, 25.4, 28.4]",1.0,29.8,25.4,24.0,1.0,27.2,28.7,28.0,1.0,28.2,28.0,26.0
2023-05-30 23:55:00,,29.8,27.3,28.433333333333334,25.325,28.3,"[24.6, 23.5, 24.9, 28.3]",1.0,29.8,25.2,24.0,1.0,27.3,28.1,28.0,1.0,28.2,27.8,26.0
2023-05-31 00:00:00,,29.7,27.3,28.2,25.175,28.6,"[24.6, 23.1, 24.4, 28.6]",1.0,29.7,25.2,24.0,1.0,27.3,28.2,28.0,1.0,27.6,27.8,26.0
2023-05-31 00:05:00,,29.7,27.3,28.23333333333333,25.275,28.9,"[24.6, 23.2, 24.4, 28.9]",1.0,29.7,25.7,25.0,1.0,27.7,28.9,29.0,1.0,27.3,28.0,27.0
2023-05-31 00:10:00,,29.9,27.9,28.6,25.975,29.7,"[24.7, 24.0, 25.5, 29.7]",1.0,29.9,25.9,25.0,1.0,27.9,29.4,29.0,1.0,28.0,28.4,27.0
2023-05-31 00:15:00,,29.9,28.0,28.866666666666664,26.175,29.6,"[24.8, 24.3, 26.0, 29.6]",1.0,29.9,25.6,25.0,1.0,28.7,28.8,29.0,1.0,28.0,28.4,27.0
2023-05-31 00:20:00,,30.1,28.4,29.2,25.95,29.9,"[24.8, 23.8, 25.3, 29.9]",1.0,30.1,25.5,25.0,1.0,29.1,29.3,29.0,1.0,28.4,28.4,27.0
2023-05-31 00:25:00,,30.1,28.1,29.166666666666668,25.875,30.4,"[24.8, 23.5, 24.8, 30.4]",1.0,30.1,25.5,25.0,1.0,29.3,29.4,29.0,1.0,28.1,28.4,27.0
2023-05-31 00:30:00,,30.0,28.0,29.3,25.825000000000003,30.6,"[24.8, 23.3, 24.6, 30.6]",1.0,30.0,25.5,25.0,1.0,29.9,29.3,29.0,1.0,28.0,28.5,27.0
2023-05-31 00:35:00,,30.4,27.7,29.366666666666664,25.65,30.3,"[24.8, 23.1, 24.4, 30.3]",1.0,30.0,24.7,21.0,1.0,30.4,28.1,21.0,1.0,27.7,27.9,21.0
2023-05-31 00:40:00,,30.6,27.0,29.166666666666668,24.775,28.4,"[24.5, 22.2, 24.0, 28.4]",1.0,29.9,24.1,21.0,1.0,30.6,27.1,21.0,1.0,27.0,26.5,21.0
2023-05-31 00:45:00,,29.0,26.2,27.96666666666667,23.975,27.2,"[23.9, 21.4, 23.4, 27.2]",1.0,29.0,23.5,21.0,1.0,28.7,26.2,21.0,1.0,26.2,25.8,21.0
2023-05-31 00:50:00,,27.7,26.2,26.7,23.325,26.4,"[23.3, 20.7, 22.9, 26.4]",1.0,27.7,23.1,21.0,1.0,26.2,26.1,21.0,1.0,26.2,25.0,21.0
2023-05-31 00:55:00,,25.6,25.5,25.53333333333333,22.825,25.8,"[22.8, 20.2, 22.5, 25.8]",1.0,25.6,22.5,21.0,1.0,25.5,25.6,21.0,1.0,25.5,24.5,21.0
2023-05-31 01:00:00,,25.0,24.8,24.9,22.325,25.2,"[22.3, 19.8, 22.0, 25.2]",1.0,24.9,22.0,21.0,1.0,24.8,25.2,21.0,1.0,25.0,24.1,21.0
2023-05-31 01:05:00,,24.9,24.1,24.5,22.175,24.9,"[22.1, 19.9, 21.8, 24.9]",1.0,24.9,22.6,23.0,1.0,24.1,25.4,23.0,1.0,24.5,24.6,23.0
2023-05-31 01:10:00,,25.8,23.7,24.53333333333333,22.35,24.8,"[22.2, 20.6, 21.8, 24.8]",1.0,25.8,23.1,23.0,1.0,23.7,25.7,23.0,1.0,24.1,25.1,23.0
2023-05-31 01:15:00,,27.1,23.3,24.8,22.6,24.6,"[22.6, 21.3, 21.9, 24.6]",1.0,27.1,23.9,23.0,1.0,23.3,25.8,23.0,1.0,24.0,25.4,23.0
2023-05-31 01:20:00,,27.1,23.1,24.7,22.725,24.5,"[22.9, 21.6, 21.9, 24.5]",1.0,27.1,23.5,23.0,1.0,23.1,25.7,23.0,1.0,23.9,25.4,23.0
2023-05-31 01:25:00,,28.2,22.8,24.96666666666667,22.625,24.4,"[23.1, 21.2, 21.8, 24.4]",1.0,28.2,23.2,23.0,1.0,22.8,25.5,23.0,1.0,23.9,25.2,23.0
2023-05-31 01:30:00,,28.4,22.6,24.933333333333334,22.475,24.3,"[23.1, 20.9, 21.6, 24.3]",1.0,28.4,23.1,23.0,1.0,22.6,25.5,23.0,1.0,23.8,25.0,23.0
2023-05-31 01:35:00,,28.2,22.3,24.7,22.5,24.3,"[23.1, 21.0, 21.6, 24.3]",1.0,28.2,23.6,25.0,1.0,22.3,25.9,25.0,1.0,23.6,25.2,25.0
2023-05-31 01:40:00,,28.2,22.1,24.633333333333336,23.200000000000003,24.8,"[23.3, 22.1, 22.6, 24.8]",1.0,28.2,24.3,25.0,1.0,22.1,26.2,25.0,1.0,23.6,25.9,25.0
2023-05-31 01:45:00,,28.7,22.2,25.0,23.875,24.9,"[23.6, 23.3, 23.7, 24.9]",1.0,28.7,24.8,25.0,1.0,22.2,26.6,25.0,1.0,24.1,26.4,25.0
2023-05-31 01:50:00,,30.2,22.3,25.766666666666666,24.0,24.8,"[23.9, 23.6, 23.7, 24.8]",1.0,30.2,24.8,25.0,1.0,22.3,26.7,25.0,1.0,24.8,26.6,25.0
2023-05-31 01:55:00,,30.2,22.3,25.83333333333333,23.825000000000003,24.8,"[24.1, 23.3, 23.1, 24.8]",1.0,30.2,24.8,25.0,1.0,22.3,26.7,25.0,1.0,25.0,26.6,25.0
2023-05-31 02:00:00,,30.7,22.1,25.866666666666664,23.7,24.7,"[24.3, 23.1, 22.7, 24.7]",1.0,30.7,24.8,25.0,1.0,22.1,26.6,25.0,1.0,24.8,26.6,25.0
2023-05-31 02:05:00,,31.1,22.0,25.866666666666664,23.775,24.9,"[24.4, 23.1, 22.7, 24.9]",1.0,31.1,24.9,27.0,1.0,22.0,26.8,27.0,1.0,24.5,26.6,27.0
2023-05-31 02:10:00,,31.4,22.1,26.0,24.525,26.1,"[24.6, 23.8, 23.6, 26.1]",1.0,31.4,25.9,27.0,1.0,22.1,27.3,27.0,1.0,24.5,27.1,27.0
2023-05-31 02:15:00,,32.0,23.3,27.23333333333333,25.275,26.7,"[24.9, 24.8, 24.7, 26.7]",1.0,32.0,26.3,27.0,1.0,23.3,27.8,27.0,1.0,26.4,27.8,27.0
