time,outdoor_t,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,1958596_h,1958597_h,3818996_c,3818996_h,3818996_r,3818996_s,3818997_c,3818997_h,3818997_r,3818997_s,3818998_c,3818998_h,3818998_r,3818998_s,3818999_c,3818999_h,3818999_r,3818999_s,3819000_c,3819000_h,3819000_r,3819000_s
2023-05-30 10:45:00,,31.3,19.2,26.97142857142857,23.5,23.5,[23.5],25.3,19.2,1.0,26.9,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.4,26.0,1.0,27.4,27.1,26.0
2023-05-30 10:50:00,,31.3,18.3,26.82857142857143,23.5,23.5,[23.5],25.5,18.3,1.0,26.8,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,26.0,26.0,1.0,27.3,27.3,26.0,1.0,27.3,27.0,26.0
2023-05-30 10:55:00,,31.2,18.7,26.85714285714286,23.6,23.6,[23.6],25.7,18.7,1.0,26.6,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.0,26.0
2023-05-30 11:00:00,,31.2,19.1,26.928571428571438,23.6,23.6,[23.6],25.9,19.1,1.0,26.5,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,26.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.1,26.0
2023-05-30 11:05:00,,31.1,19.1,26.928571428571438,23.7,23.7,[23.7],26.1,19.1,1.0,26.5,26.0,26.0,1.0,31.1,25.0,26.0,1.0,31.1,26.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.2,26.0
2023-05-30 11:10:00,,31.2,19.6,27.05714285714286,23.9,23.9,[23.9],26.2,19.6,1.0,26.6,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.3,27.5,26.0,1.0,27.3,27.2,26.0
2023-05-30 11:15:00,,31.2,19.8,27.157142857142865,23.8,23.8,[23.8],26.4,19.8,1.0,26.7,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 11:20:00,,31.2,19.8,26.985714285714288,23.5,23.5,[23.5],25.2,19.8,1.0,26.7,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.4,27.3,26.0,1.0,27.4,27.0,26.0
2023-05-30 11:25:00,,31.2,19.1,26.84285714285715,23.5,23.5,[23.5],25.1,19.1,1.0,26.7,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,26.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.1,26.0
2023-05-30 11:30:00,,31.2,19.2,26.85714285714286,23.6,23.6,[23.6],25.1,19.2,1.0,26.7,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.3,27.4,26.0,1.0,27.3,27.2,26.0
2023-05-30 11:35:00,,31.2,19.4,26.97142857142857,23.8,23.8,[23.8],25.7,19.4,1.0,26.7,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.3,27.5,26.0,1.0,27.3,27.1,26.0
2023-05-30 11:40:00,,31.2,19.5,27.01428571428572,23.9,23.9,[23.9],25.7,19.5,1.0,26.7,26.0,26.0,1.0,31.2,25.0,26.0,1.0,31.2,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.2,26.0
2023-05-30 11:45:00,,31.3,19.5,27.11428571428572,23.9,23.9,[23.9],26.2,19.5,1.0,26.7,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 11:50:00,,31.3,19.9,27.214285714285715,23.9,23.9,[23.9],26.3,19.9,1.0,26.9,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.6,26.0,1.0,27.4,27.3,26.0
2023-05-30 11:55:00,,31.3,19.9,27.057142857142857,23.6,23.6,[23.6],25.1,19.9,1.0,27.0,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.4,26.0,1.0,27.4,27.0,26.0
2023-05-30 12:00:00,,31.3,19.4,26.985714285714288,23.6,23.6,[23.6],25.1,19.4,1.0,27.0,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.2,26.0
2023-05-30 12:05:00,,31.3,19.5,27.0,23.8,23.8,[23.8],25.1,19.5,1.0,27.0,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.2,26.0
2023-05-30 12:10:00,,31.3,19.5,27.057142857142857,23.8,23.8,[23.8],25.4,19.5,1.0,26.9,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.5,27.5,26.0,1.0,27.5,27.3,26.0
2023-05-30 12:15:00,,31.3,19.7,27.15714285714285,24.0,24.0,[24.0],25.8,19.7,1.0,27.0,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,26.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 12:20:00,,31.3,19.8,27.228571428571428,24.0,24.0,[24.0],26.1,19.8,1.0,27.1,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 12:25:00,,31.3,19.6,27.185714285714287,23.7,23.7,[23.7],26.1,19.6,1.0,27.0,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.5,27.5,26.0,1.0,27.5,27.2,26.0
2023-05-30 12:30:00,,31.4,19.5,27.071428571428573,23.7,23.7,[23.7],25.2,19.5,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 12:35:00,,31.4,19.4,27.057142857142857,23.8,23.8,[23.8],25.2,19.4,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 12:40:00,,31.4,19.4,27.1,24.0,24.0,[24.0],25.5,19.4,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.4,26.0
2023-05-30 12:45:00,,31.3,19.9,27.24285714285714,24.0,24.0,[24.0],26.1,19.9,1.0,27.1,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.5,27.7,26.0,1.0,27.5,27.4,26.0
2023-05-30 12:50:00,,31.4,19.9,27.242857142857144,23.9,23.9,[23.9],25.9,19.9,1.0,27.1,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 12:55:00,,31.4,19.1,27.0,23.5,23.5,[23.5],25.0,19.1,1.0,27.1,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.5,26.0,1.0,27.5,27.1,26.0
2023-05-30 13:00:00,,31.4,18.2,26.85714285714286,23.4,23.4,[23.4],25.3,18.2,1.0,26.9,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,26.0,26.0,1.0,27.4,27.4,26.0,1.0,27.4,26.9,26.0
2023-05-30 13:05:00,,31.3,18.8,26.928571428571438,23.6,23.6,[23.6],25.6,18.8,,26.7,,,,31.3,,,,31.3,,,,27.4,,,,27.4,,
2023-05-30 13:10:00,,31.3,18.8,26.91428571428572,23.8,23.8,[23.8],25.8,18.8,1.0,26.6,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.3,27.5,26.0,1.0,27.3,27.2,26.0
2023-05-30 13:15:00,,31.3,19.3,27.057142857142857,23.9,23.9,[23.9],26.0,19.3,1.0,26.7,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 13:20:00,,31.3,19.8,27.17142857142857,24.0,24.0,[24.0],26.3,19.8,1.0,26.7,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.6,26.0,1.0,27.4,27.4,26.0
2023-05-30 13:25:00,,31.3,19.6,27.014285714285712,23.7,23.7,[23.7],25.1,19.6,1.0,26.8,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.5,27.4,26.0,1.0,27.5,27.1,26.0
2023-05-30 13:30:00,,31.3,19.4,26.97142857142857,23.8,23.8,[23.8],25.1,19.4,1.0,26.9,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.2,26.0
2023-05-30 13:35:00,,31.3,19.4,26.97142857142857,23.9,23.9,[23.9],25.1,19.4,1.0,26.9,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.6,26.0,1.0,27.4,27.3,26.0
2023-05-30 13:40:00,,31.3,19.7,27.11428571428572,24.0,24.0,[24.0],25.8,19.7,1.0,26.9,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.6,26.0,1.0,27.4,27.3,26.0
2023-05-30 13:45:00,,31.3,19.9,27.185714285714287,24.1,24.1,[24.1],25.8,19.9,1.0,27.0,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.5,27.7,26.0,1.0,27.5,27.4,26.0
2023-05-30 13:50:00,,31.4,20.0,27.27142857142857,24.1,24.1,[24.1],26.1,20.0,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.7,26.0,1.0,27.5,27.4,26.0
2023-05-30 13:55:00,,31.4,19.7,27.08571428571429,23.8,23.8,[23.8],25.0,19.7,1.0,27.1,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.2,26.0
2023-05-30 14:00:00,,31.4,19.7,27.08571428571429,23.7,23.7,[23.7],25.0,19.7,1.0,27.1,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.2,26.0
2023-05-30 14:05:00,,31.4,19.4,27.071428571428573,23.9,23.9,[23.9],25.2,19.4,1.0,27.1,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 14:10:00,,31.4,19.8,27.214285714285715,24.1,24.1,[24.1],25.9,19.8,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.7,26.0,1.0,27.5,27.3,26.0
2023-05-30 14:15:00,,31.4,19.9,27.3,24.1,24.1,[24.1],26.2,19.9,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.4,26.0
2023-05-30 14:20:00,,31.4,19.9,27.314285714285717,24.1,24.1,[24.1],26.2,19.9,1.0,27.1,27.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.4,26.0
2023-05-30 14:25:00,,31.4,19.8,27.314285714285717,23.8,23.8,[23.8],26.3,19.8,1.0,27.1,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.6,27.5,26.0,1.0,27.6,27.3,26.0
2023-05-30 14:30:00,,31.4,19.8,27.15714285714285,23.8,23.8,[23.8],25.2,19.8,1.0,27.1,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.6,27.6,26.0,1.0,27.6,27.3,26.0
2023-05-30 14:35:00,,31.4,19.4,27.12857142857143,24.0,24.0,[24.0],25.5,19.4,1.0,27.2,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.7,26.0,1.0,27.5,27.3,26.0
2023-05-30 14:40:00,,31.4,19.8,27.27142857142857,24.1,24.1,[24.1],25.9,19.8,1.0,27.2,27.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.5,26.0
2023-05-30 14:45:00,,31.4,19.9,27.314285714285717,24.1,24.1,[24.1],26.2,19.9,1.0,27.1,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.5,26.0
2023-05-30 14:50:00,,31.5,20.2,27.4,24.3,24.3,[24.3],26.3,20.2,1.0,27.1,27.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.8,26.0,1.0,27.6,27.5,26.0
2023-05-30 14:55:00,,31.5,19.8,27.2,23.9,23.9,[23.9],25.1,19.8,1.0,27.3,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.6,26.0,1.0,27.6,27.4,26.0
2023-05-30 15:00:00,,31.5,18.8,27.057142857142853,23.8,23.8,[23.8],25.3,18.8,1.0,27.1,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,26.0,26.0,1.0,27.6,27.6,26.0,1.0,27.6,27.3,26.0
2023-05-30 15:05:00,,31.5,18.7,27.057142857142857,23.8,23.8,[23.8],25.6,18.7,1.0,27.1,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,26.0,26.0,1.0,27.5,27.5,26.0,1.0,27.5,27.3,26.0
2023-05-30 15:10:00,,31.4,19.4,27.142857142857142,24.0,24.0,[24.0],25.9,19.4,1.0,26.9,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 15:15:00,,31.4,19.7,27.214285714285715,24.1,24.1,[24.1],26.1,19.7,1.0,26.9,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.4,26.0
2023-05-30 15:20:00,,31.4,19.7,27.242857142857144,24.2,24.2,[24.2],26.2,19.7,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.7,26.0,1.0,27.5,27.4,26.0
2023-05-30 15:25:00,,31.4,20.0,27.285714285714285,23.7,23.7,[23.7],26.2,20.0,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.5,26.0,1.0,27.5,27.2,26.0
2023-05-30 15:30:00,,31.4,19.4,27.028571428571432,23.8,23.8,[23.8],25.0,19.4,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 15:35:00,,31.4,19.4,27.1,23.9,23.9,[23.9],25.5,19.4,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 15:40:00,,31.4,19.7,27.2,24.0,24.0,[24.0],25.9,19.7,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 15:45:00,,31.4,19.7,27.2,24.2,24.2,[24.2],25.9,19.7,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.5,27.7,26.0,1.0,27.5,27.4,26.0
2023-05-30 15:50:00,,31.5,19.9,27.37142857142857,24.2,24.2,[24.2],26.4,19.9,1.0,27.1,27.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.5,26.0
2023-05-30 15:55:00,,31.5,19.8,27.2,23.9,23.9,[23.9],25.2,19.8,1.0,27.2,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.5,26.0,1.0,27.6,27.2,26.0
2023-05-30 16:00:00,,31.5,19.5,27.15714285714285,23.9,23.9,[23.9],25.2,19.5,1.0,27.2,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.6,26.0,1.0,27.6,27.3,26.0
2023-05-30 16:05:00,,31.5,19.5,27.17142857142857,24.0,24.0,[24.0],25.5,19.5,1.0,27.2,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 16:10:00,,31.5,19.5,27.17142857142857,24.1,24.1,[24.1],25.5,19.5,1.0,27.2,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.5,27.7,26.0,1.0,27.5,27.4,26.0
2023-05-30 16:15:00,,31.5,19.7,27.3,24.3,24.3,[24.3],26.1,19.7,1.0,27.1,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.5,26.0
2023-05-30 16:20:00,,31.5,20.0,27.3,24.2,24.2,[24.2],25.7,20.0,1.0,27.2,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.4,26.0
2023-05-30 16:25:00,,31.5,19.7,27.15714285714285,23.8,23.8,[23.8],25.0,19.7,1.0,27.2,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.6,26.0,1.0,27.6,27.4,26.0
2023-05-30 16:30:00,,31.5,19.7,27.2,23.9,23.9,[23.9],25.3,19.7,1.0,27.2,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.6,26.0,1.0,27.6,27.3,26.0
2023-05-30 16:35:00,,,,,24.0,24.0,[24.0],,,1.0,,26.0,26.0,1.0,,25.0,26.0,1.0,,27.0,26.0,1.0,,27.7,26.0,1.0,,27.4,26.0
2023-05-30 16:40:00,,31.5,19.6,27.25714285714286,24.2,24.2,[24.2],25.8,19.6,1.0,27.2,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.5,26.0
2023-05-30 16:45:00,,31.5,20.0,27.37142857142857,24.2,24.2,[24.2],26.1,20.0,1.0,27.3,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.4,26.0
2023-05-30 16:50:00,,31.5,19.6,27.3,23.8,23.8,[23.8],26.1,19.6,1.0,27.2,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.6,26.0,1.0,27.6,27.2,26.0
2023-05-30 16:55:00,,31.5,19.6,27.142857142857142,23.8,23.8,[23.8],25.3,19.6,1.0,27.1,26.0,26.0,1.0,31.5,26.0,26.0,1.0,31.5,27.0,26.0,1.0,27.5,27.6,26.0,1.0,27.5,27.3,26.0
2023-05-30 17:00:00,,31.5,19.4,27.185714285714283,24.0,24.0,[24.0],25.6,19.4,1.0,27.1,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,27.0,26.0,1.0,27.6,27.7,26.0,1.0,27.6,27.4,26.0
2023-05-30 17:05:00,,31.5,19.4,27.185714285714283,24.0,24.0,[24.0],25.6,19.4,1.0,27.1,26.0,26.0,1.0,31.5,25.0,26.0,1.0,31.5,26.0,26.0,1.0,27.6,27.6,26.0,1.0,27.6,27.4,26.0
2023-05-30 17:10:00,,31.4,18.7,27.12857142857143,23.7,23.7,[23.7],26.2,18.7,1.0,27.0,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,26.0,26.0,1.0,27.6,27.5,26.0,1.0,27.6,27.2,26.0
2023-05-30 17:15:00,,31.4,18.8,27.085714285714285,23.7,23.7,[23.7],26.3,18.8,1.0,26.7,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,26.0,26.0,1.0,27.5,27.5,26.0,1.0,27.5,27.2,26.0
2023-05-30 17:20:00,,31.4,18.8,27.028571428571432,23.7,23.7,[23.7],26.0,18.8,1.0,26.6,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,26.0,26.0,1.0,27.5,27.5,26.0,1.0,27.5,27.2,26.0
2023-05-30 17:25:00,,31.3,19.2,26.9,23.5,23.5,[23.5],25.0,19.2,1.0,26.7,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,26.0,26.0,1.0,27.4,27.4,26.0,1.0,27.4,27.0,26.0
2023-05-30 17:30:00,,31.3,19.2,26.88571428571429,23.6,23.6,[23.6],25.0,19.2,1.0,26.6,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.2,26.0
2023-05-30 17:35:00,,31.3,19.3,27.0,23.7,23.7,[23.7],25.5,19.3,1.0,26.8,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.1,26.0
2023-05-30 17:40:00,,31.3,19.3,27.0,23.8,23.8,[23.8],25.5,19.3,1.0,26.8,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 17:45:00,,31.3,19.4,27.08571428571429,23.9,23.9,[23.9],26.0,19.4,1.0,26.8,26.0,26.0,1.0,31.3,25.0,26.0,1.0,31.3,27.0,26.0,1.0,27.4,27.5,26.0,1.0,27.4,27.3,26.0
2023-05-30 17:50:00,,31.4,19.7,27.2,24.0,24.0,[24.0],26.2,19.7,1.0,26.9,26.0,26.0,1.0,31.4,25.0,26.0,1.0,31.4,27.0,26.0,1.0,27.4,27.6,26.0,1.0,27.4,27.4,26.0
