time,outdoor_t,room_total_power,rack_h,rack_l,rack_avg,env_avg,env_h,env_list,3813142_h,3839085_h,3839290_c,3839290_h,3839290_r,3839290_s
2023-05-30 11:30:00,,9.8,25.6,25.6,25.600000000000005,25.3,25.3,[25.3],25.6,25.6,1.0,25.6,25.0,26.0
2023-05-30 11:35:00,,10.22,26.3,25.7,26.1,25.4,25.4,[25.4],26.3,25.7,1.0,26.3,25.0,26.0
2023-05-30 11:40:00,,9.63,26.3,26.0,26.2,25.3,25.3,[25.3],26.3,26.0,1.0,26.3,24.0,26.0
2023-05-30 11:45:00,,9.57,25.5,25.5,25.5,25.2,25.2,[25.2],25.5,25.5,1.0,25.5,24.0,26.0
2023-05-30 11:50:00,,9.82,26.1,25.6,25.933333333333337,25.3,25.3,[25.3],26.1,25.6,1.0,26.1,25.0,26.0
2023-05-30 11:55:00,,10.15,25.9,25.6,25.8,25.4,25.4,[25.4],25.9,25.6,1.0,25.9,25.0,26.0
2023-05-30 12:00:00,,9.81,25.8,25.8,25.8,25.2,25.2,[25.2],25.8,25.8,1.0,25.8,24.0,26.0
2023-05-30 12:05:00,,10.07,25.8,25.6,25.73333333333333,25.3,25.3,[25.3],25.8,25.6,1.0,25.8,25.0,26.0
2023-05-30 12:10:00,,9.52,26.3,25.7,26.1,25.4,25.4,[25.4],26.3,25.7,1.0,26.3,25.0,26.0
2023-05-30 12:15:00,,9.59,26.0,26.0,26.0,25.4,25.4,[25.4],26.0,26.0,1.0,26.0,24.0,26.0
2023-05-30 12:20:00,,9.59,25.6,25.6,25.600000000000005,25.2,25.2,[25.2],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 12:25:00,,9.55,25.6,25.6,25.600000000000005,25.3,25.3,[25.3],25.6,25.6,1.0,25.6,25.0,26.0
2023-05-30 12:30:00,,9.71,26.2,25.8,26.066666666666663,25.4,25.4,[25.4],26.2,25.8,1.0,26.2,25.0,26.0
2023-05-30 12:35:00,,10.23,25.6,25.6,25.600000000000005,25.1,25.1,[25.1],25.6,25.6,1.0,25.6,23.0,26.0
2023-05-30 12:40:00,,9.63,25.7,25.6,25.666666666666668,25.2,25.2,[25.2],25.7,25.6,1.0,25.7,25.0,26.0
2023-05-30 12:45:00,,9.8,26.2,25.6,26.0,25.4,25.4,[25.4],26.2,25.6,1.0,26.2,25.0,26.0
2023-05-30 12:50:00,,9.81,25.7,25.7,25.7,25.3,25.3,[25.3],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 12:55:00,,9.82,25.7,25.7,25.7,25.1,25.1,[25.1],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 13:00:00,,9.76,25.8,25.5,25.7,25.3,25.3,[25.3],25.8,25.5,1.0,25.8,25.0,26.0
2023-05-30 13:05:00,,9.78,26.2,25.7,26.03333333333333,25.3,25.3,[25.3],26.2,25.7,1.0,26.2,25.0,26.0
2023-05-30 13:10:00,,9.86,25.7,25.7,25.7,25.1,25.1,[25.1],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 13:15:00,,9.85,25.5,25.4,25.46666666666667,25.1,25.1,[25.1],25.5,25.4,1.0,25.5,24.0,26.0
2023-05-30 13:20:00,,9.69,26.2,25.6,26.0,25.4,25.4,[25.4],26.2,25.6,1.0,26.2,25.0,26.0
2023-05-30 13:25:00,,10.09,25.7,25.6,25.666666666666668,25.3,25.3,[25.3],25.7,25.6,1.0,25.7,24.0,26.0
2023-05-30 13:30:00,,9.760000000000002,25.4,25.4,25.399999999999995,25.1,25.1,[25.1],25.4,25.4,1.0,25.4,24.0,26.0
2023-05-30 13:35:00,,10.07,25.5,25.5,25.5,25.3,25.3,[25.3],25.5,25.5,1.0,25.5,25.0,26.0
2023-05-30 13:40:00,,10.1,26.2,25.7,26.03333333333333,25.4,25.4,[25.4],26.2,25.7,1.0,26.2,25.0,26.0
2023-05-30 13:45:00,,9.88,25.6,25.6,25.600000000000005,25.2,25.2,[25.2],25.6,25.6,1.0,25.6,23.0,26.0
2023-05-30 13:50:00,,9.61,25.7,25.4,25.6,25.3,25.3,[25.3],25.7,25.4,1.0,25.7,25.0,26.0
2023-05-30 13:55:00,,9.88,26.2,25.6,26.0,25.4,25.4,[25.4],26.2,25.6,1.0,26.2,25.0,26.0
2023-05-30 14:00:00,,9.73,25.8,25.8,25.8,25.3,25.3,[25.3],25.8,25.8,1.0,25.8,24.0,26.0
2023-05-30 14:05:00,,9.739999999999998,25.5,25.5,25.5,25.2,25.2,[25.2],25.5,25.5,1.0,25.5,24.0,26.0
2023-05-30 14:10:00,,9.99,25.5,25.5,25.5,25.3,25.3,[25.3],25.5,25.5,1.0,25.5,25.0,26.0
2023-05-30 14:15:00,,9.69,26.1,25.8,26.0,25.4,25.4,[25.4],26.1,25.8,1.0,26.1,25.0,26.0
2023-05-30 14:20:00,,9.67,25.6,25.6,25.600000000000005,25.2,25.2,[25.2],25.6,25.6,1.0,25.6,23.0,26.0
2023-05-30 14:25:00,,9.63,25.5,25.5,25.5,25.3,25.3,[25.3],25.5,25.5,1.0,25.5,24.0,26.0
2023-05-30 14:30:00,,9.69,26.4,25.7,26.166666666666668,25.5,25.5,[25.5],26.4,25.7,1.0,26.4,26.0,26.0
2023-05-30 14:35:00,,9.84,25.7,25.7,25.7,25.3,25.3,[25.3],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 14:40:00,,9.73,25.5,25.5,25.5,25.2,25.2,[25.2],25.5,25.5,1.0,25.5,24.0,26.0
2023-05-30 14:45:00,,9.67,26.1,25.5,25.9,25.4,25.4,[25.4],26.1,25.5,1.0,26.1,25.0,26.0
2023-05-30 14:50:00,,9.739999999999998,26.0,25.7,25.9,25.4,25.4,[25.4],26.0,25.7,1.0,26.0,26.0,26.0
2023-05-30 14:55:00,,9.65,26.0,25.7,25.9,25.2,25.2,[25.2],26.0,25.7,1.0,26.0,24.0,26.0
2023-05-30 15:00:00,,9.79,25.9,25.6,25.8,25.3,25.3,[25.3],25.9,25.6,1.0,25.9,25.0,26.0
2023-05-30 15:05:00,,9.68,26.5,25.6,26.2,25.5,25.5,[25.5],26.5,25.6,1.0,26.5,26.0,26.0
2023-05-30 15:10:00,,9.73,25.9,25.9,25.899999999999995,25.4,25.4,[25.4],25.9,25.9,1.0,25.9,23.0,26.0
2023-05-30 15:15:00,,9.56,25.7,25.7,25.7,25.3,25.3,[25.3],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 15:20:00,,9.56,26.3,25.7,26.1,25.5,25.5,[25.5],26.3,25.7,1.0,26.3,25.0,26.0
2023-05-30 15:25:00,,9.68,26.2,26.2,26.2,25.5,25.5,[25.5],26.2,26.2,1.0,26.2,24.0,26.0
2023-05-30 15:30:00,,9.77,26.2,26.2,26.2,25.4,25.4,[25.4],26.2,26.2,1.0,26.2,24.0,26.0
2023-05-30 15:35:00,,9.71,25.9,25.7,25.83333333333333,25.4,25.4,[25.4],25.9,25.7,1.0,25.9,25.0,26.0
2023-05-30 15:40:00,,9.62,26.2,25.8,26.066666666666663,25.5,25.5,[25.5],26.2,25.8,1.0,26.2,25.0,0.6
2023-05-30 15:45:00,,9.9,25.8,25.8,25.8,25.3,25.3,[25.3],25.8,25.8,1.0,25.8,23.0,26.0
2023-05-30 15:50:00,,9.78,25.6,25.5,25.566666666666663,25.3,25.3,[25.3],25.6,25.5,1.0,25.6,25.0,26.0
2023-05-30 15:55:00,,10.05,25.7,25.7,25.7,25.5,25.5,[25.5],25.7,25.7,1.0,25.7,25.0,26.0
2023-05-30 16:00:00,,9.65,26.1,26.1,26.100000000000005,25.5,25.5,[25.5],26.1,26.1,1.0,26.1,24.0,26.0
2023-05-30 16:05:00,,9.95,26.1,26.1,26.100000000000005,25.4,25.4,[25.4],26.1,26.1,1.0,26.1,24.0,26.0
2023-05-30 16:10:00,,9.76,26.0,25.7,25.9,25.5,25.5,[25.5],26.0,25.7,1.0,26.0,25.0,26.0
2023-05-30 16:15:00,,10.010000000000002,26.2,26.2,26.2,25.6,25.6,[25.6],26.2,26.2,1.0,26.2,25.0,26.0
2023-05-30 16:20:00,,9.64,25.9,25.9,25.899999999999995,25.4,25.4,[25.4],25.9,25.9,1.0,25.9,23.0,26.0
2023-05-30 16:25:00,,9.77,25.7,25.7,25.7,25.5,25.5,[25.5],25.7,25.7,1.0,25.7,25.0,26.0
2023-05-30 16:30:00,,9.55,25.8,25.8,25.8,25.6,25.6,[25.6],25.8,25.8,1.0,25.8,25.0,26.0
2023-05-30 16:35:00,,9.95,25.9,25.9,25.899999999999995,25.4,25.4,[25.4],25.9,25.9,1.0,25.9,25.0,26.0
2023-05-30 16:40:00,,9.58,25.9,25.9,25.899999999999995,25.3,25.3,[25.3],25.9,25.9,1.0,25.9,24.0,26.0
2023-05-30 16:45:00,,9.61,26.0,25.5,25.83333333333333,25.5,25.5,[25.5],26.0,25.5,1.0,26.0,25.0,26.0
2023-05-30 16:50:00,,9.7,26.1,25.8,26.0,25.5,25.5,[25.5],26.1,25.8,1.0,26.1,25.0,26.0
2023-05-30 16:55:00,,9.61,25.6,25.6,25.600000000000005,25.3,25.3,[25.3],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 17:00:00,,9.7,25.5,25.5,25.5,25.4,25.4,[25.4],25.5,25.5,1.0,25.5,25.0,26.0
2023-05-30 17:05:00,,9.75,26.4,25.8,26.2,25.6,25.6,[25.6],26.4,25.8,1.0,26.4,26.0,26.0
2023-05-30 17:10:00,,9.6,26.4,25.9,26.23333333333333,25.5,25.5,[25.5],26.4,25.9,1.0,26.4,24.0,26.0
2023-05-30 17:15:00,,10.01,25.7,25.7,25.7,25.4,25.4,[25.4],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 17:20:00,,9.66,25.8,25.8,25.8,25.5,25.5,[25.5],25.8,25.8,1.0,25.8,25.0,26.0
2023-05-30 17:25:00,,9.72,25.8,25.8,25.8,25.5,25.5,[25.5],25.8,25.8,1.0,25.8,25.0,26.0
2023-05-30 17:30:00,,9.739999999999998,25.7,25.7,25.7,25.3,25.3,[25.3],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 17:35:00,,9.78,25.8,25.7,25.766666666666666,25.4,25.4,[25.4],25.8,25.7,1.0,25.8,25.0,26.0
2023-05-30 17:40:00,,9.73,26.3,25.8,26.133333333333336,25.5,25.5,[25.5],26.3,25.8,1.0,26.3,25.0,26.0
2023-05-30 17:45:00,,10.260000000000002,26.3,25.7,26.1,25.3,25.3,[25.3],26.3,25.7,1.0,26.3,23.0,26.0
2023-05-30 17:50:00,,9.78,25.7,25.5,25.633333333333336,25.4,25.4,[25.4],25.7,25.5,1.0,25.7,25.0,26.0
2023-05-30 17:55:00,,9.97,26.4,25.7,26.166666666666668,25.6,25.6,[25.6],26.4,25.7,1.0,26.4,26.0,26.0
2023-05-30 18:00:00,,9.67,26.4,25.7,26.166666666666668,25.5,25.5,[25.5],26.4,25.7,1.0,26.4,24.0,26.0
2023-05-30 18:05:00,,10.1,25.6,25.6,25.600000000000005,25.4,25.4,[25.4],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 18:10:00,,9.88,26.0,25.8,25.933333333333334,25.6,25.6,[25.6],26.0,25.8,1.0,26.0,25.0,26.0
2023-05-30 18:15:00,,10.19,25.9,25.9,25.899999999999995,25.6,25.6,[25.6],25.9,25.9,1.0,25.9,25.0,26.0
2023-05-30 18:20:00,,10.23,25.6,25.6,25.600000000000005,25.4,25.4,[25.4],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 18:25:00,,10.07,25.9,25.6,25.8,25.4,25.4,[25.4],25.9,25.6,1.0,25.9,25.0,26.0
2023-05-30 18:30:00,,10.18,26.4,25.8,26.2,25.6,25.6,[25.6],26.4,25.8,1.0,26.4,25.0,26.0
2023-05-30 18:35:00,,9.91,25.8,25.8,25.8,25.4,25.4,[25.4],25.8,25.8,1.0,25.8,24.0,26.0
2023-05-30 18:40:00,,10.14,25.6,25.6,25.600000000000005,25.4,25.4,[25.4],25.6,25.6,1.0,25.6,25.0,26.0
2023-05-30 18:45:00,,10.19,26.3,25.8,26.133333333333336,25.6,25.6,[25.6],26.3,25.8,1.0,26.3,25.0,26.0
2023-05-30 18:50:00,,9.9,26.0,26.0,26.0,25.5,25.5,[25.5],26.0,26.0,1.0,26.0,24.0,26.0
2023-05-30 18:55:00,,9.72,26.0,26.0,26.0,25.5,25.5,[25.5],26.0,26.0,1.0,26.0,24.0,26.0
2023-05-30 19:00:00,,10.23,26.0,25.7,25.9,25.5,25.5,[25.5],26.0,25.7,1.0,26.0,25.0,26.0
2023-05-30 19:05:00,,10.09,26.0,25.9,25.96666666666667,25.5,25.5,[25.5],26.0,25.9,1.0,26.0,25.0,26.0
2023-05-30 19:10:00,,10.19,25.9,25.9,25.899999999999995,25.4,25.4,[25.4],25.9,25.9,1.0,25.9,24.0,26.0
2023-05-30 19:15:00,,9.68,25.9,25.5,25.766666666666666,25.4,25.4,[25.4],25.9,25.5,1.0,25.9,25.0,26.0
2023-05-30 19:20:00,,10.08,26.3,25.5,26.03333333333333,25.6,25.6,[25.6],26.3,25.5,1.0,26.3,25.0,26.0
2023-05-30 19:25:00,,9.81,25.8,25.8,25.8,25.3,25.3,[25.3],25.8,25.8,1.0,25.8,23.0,26.0
2023-05-30 19:30:00,,9.989999999999998,25.6,25.5,25.566666666666663,25.4,25.4,[25.4],25.6,25.5,1.0,25.6,25.0,26.0
2023-05-30 19:35:00,,9.89,26.4,25.5,26.1,25.6,25.6,[25.6],26.4,25.5,1.0,26.4,25.0,26.0
2023-05-30 19:40:00,,9.78,25.7,25.7,25.7,25.5,25.5,[25.5],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 19:45:00,,10.09,25.7,25.7,25.7,25.4,25.4,[25.4],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 19:50:00,,9.69,25.8,25.8,25.8,25.5,25.5,[25.5],25.8,25.8,1.0,25.8,25.0,26.0
2023-05-30 19:55:00,,9.97,25.9,25.9,25.899999999999995,25.5,25.5,[25.5],25.9,25.9,1.0,25.9,25.0,26.0
2023-05-30 20:00:00,,9.96,25.6,25.6,25.600000000000005,25.3,25.3,[25.3],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 20:05:00,,10.0,25.8,25.7,25.766666666666666,25.4,25.4,[25.4],25.8,25.7,1.0,25.8,25.0,26.0
2023-05-30 20:10:00,,10.27,26.2,25.7,26.03333333333333,25.5,25.5,[25.5],26.2,25.7,1.0,26.2,25.0,26.0
2023-05-30 20:15:00,,10.05,25.6,25.6,25.600000000000005,25.3,25.3,[25.3],25.6,25.6,1.0,25.6,23.0,26.0
2023-05-30 20:20:00,,9.73,25.7,25.6,25.666666666666668,25.4,25.4,[25.4],25.7,25.6,1.0,25.7,25.0,26.0
2023-05-30 20:25:00,,10.07,26.4,25.6,26.133333333333336,25.6,25.6,[25.6],26.4,25.6,1.0,26.4,25.0,26.0
2023-05-30 20:30:00,,9.94,26.4,25.8,26.2,25.3,25.3,[25.3],26.4,25.8,1.0,26.4,24.0,26.0
2023-05-30 20:35:00,,10.13,25.8,25.8,25.8,25.3,25.3,[25.3],25.8,25.8,1.0,25.8,24.0,26.0
2023-05-30 20:40:00,,9.99,26.1,25.6,25.933333333333337,25.5,25.5,[25.5],26.1,25.6,1.0,26.1,25.0,26.0
2023-05-30 20:45:00,,10.1,26.1,25.6,25.933333333333337,25.5,25.5,[25.5],26.1,25.6,1.0,26.1,24.0,26.0
2023-05-30 20:50:00,,10.11,25.6,25.6,25.600000000000005,25.4,25.4,[25.4],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 20:55:00,,10.12,25.9,25.6,25.8,25.5,25.5,[25.5],25.9,25.6,1.0,25.9,25.0,26.0
2023-05-30 21:00:00,,10.25,26.1,26.1,26.100000000000005,25.6,25.6,[25.6],26.1,26.1,1.0,26.1,25.0,26.0
2023-05-30 21:05:00,,10.46,25.8,25.8,25.8,25.4,25.4,[25.4],25.8,25.8,1.0,25.8,24.0,26.0
2023-05-30 21:10:00,,10.18,25.9,25.7,25.83333333333333,25.4,25.4,[25.4],25.9,25.7,1.0,25.9,25.0,26.0
2023-05-30 21:15:00,,10.3,26.3,25.8,26.133333333333336,25.6,25.6,[25.6],26.3,25.8,1.0,26.3,26.0,26.0
2023-05-30 21:20:00,,10.55,25.8,25.8,25.8,25.3,25.3,[25.3],25.8,25.8,1.0,25.8,24.0,26.0
2023-05-30 21:25:00,,10.18,25.6,25.6,25.600000000000005,25.3,25.3,[25.3],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 21:30:00,,9.85,26.3,25.7,26.1,25.5,25.5,[25.5],26.3,25.7,1.0,26.3,25.0,26.0
2023-05-30 21:35:00,,9.75,26.2,26.2,26.2,25.5,25.5,[25.5],26.2,26.2,1.0,26.2,26.0,26.0
2023-05-30 21:40:00,,9.93,25.8,25.8,25.8,25.4,25.4,[25.4],25.8,25.8,1.0,25.8,24.0,26.0
2023-05-30 21:45:00,,9.97,25.9,25.6,25.8,25.4,25.4,[25.4],25.9,25.6,1.0,25.9,25.0,26.0
2023-05-30 21:50:00,,10.12,25.9,25.6,25.8,25.5,25.5,[25.5],25.9,25.6,1.0,25.9,25.0,26.0
2023-05-30 21:55:00,,9.96,25.9,25.9,25.899999999999995,25.3,25.3,[25.3],25.9,25.9,1.0,25.9,24.0,26.0
2023-05-30 22:00:00,,9.77,25.7,25.6,25.666666666666668,25.4,25.4,[25.4],25.7,25.6,1.0,25.7,25.0,26.0
2023-05-30 22:05:00,,9.69,25.7,25.6,25.666666666666668,25.5,25.5,[25.5],25.7,25.6,1.0,25.7,26.0,26.0
2023-05-30 22:10:00,,10.02,26.0,26.0,26.0,25.4,25.4,[25.4],26.0,26.0,1.0,26.0,24.0,26.0
2023-05-30 22:15:00,,10.0,25.6,25.6,25.600000000000005,25.4,25.4,[25.4],25.6,25.6,1.0,25.6,25.0,26.0
2023-05-30 22:20:00,,9.78,26.1,25.6,25.933333333333337,25.5,25.5,[25.5],26.1,25.6,1.0,26.1,25.0,26.0
2023-05-30 22:25:00,,9.86,25.8,25.8,25.8,25.4,25.4,[25.4],25.8,25.8,1.0,25.8,25.0,26.0
2023-05-30 22:30:00,,9.77,25.8,25.5,25.7,25.3,25.3,[25.3],25.8,25.5,1.0,25.8,23.0,26.0
2023-05-30 22:35:00,,9.79,25.9,25.5,25.766666666666666,25.4,25.4,[25.4],25.9,25.5,1.0,25.9,25.0,26.0
2023-05-30 22:40:00,,9.81,26.2,25.9,26.1,25.5,25.5,[25.5],26.2,25.9,1.0,26.2,26.0,26.0
2023-05-30 22:45:00,,9.79,25.8,25.8,25.8,25.3,25.3,[25.3],25.8,25.8,1.0,25.8,23.0,26.0
2023-05-30 22:50:00,,9.81,25.6,25.6,25.600000000000005,25.3,25.3,[25.3],25.6,25.6,1.0,25.6,25.0,26.0
2023-05-30 22:55:00,,9.72,26.3,25.6,26.066666666666663,25.5,25.5,[25.5],26.3,25.6,1.0,26.3,25.0,26.0
2023-05-30 23:00:00,,9.65,26.1,26.1,26.100000000000005,25.4,25.4,[25.4],26.1,26.1,1.0,26.1,24.0,26.0
2023-05-30 23:05:00,,9.67,25.6,25.6,25.600000000000005,25.3,25.3,[25.3],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-30 23:10:00,,9.81,26.1,25.7,25.96666666666667,25.5,25.5,[25.5],26.1,25.7,1.0,26.1,25.0,26.0
2023-05-30 23:15:00,,10.07,26.1,25.7,25.96666666666667,25.4,25.4,[25.4],26.1,25.7,1.0,26.1,25.0,26.0
2023-05-30 23:20:00,,9.81,25.7,25.7,25.7,25.2,25.2,[25.2],25.7,25.7,1.0,25.7,24.0,26.0
2023-05-30 23:25:00,,9.67,25.8,25.7,25.766666666666666,25.3,25.3,[25.3],25.8,25.7,1.0,25.8,25.0,26.0
2023-05-30 23:30:00,,9.73,25.8,25.6,25.73333333333333,25.5,25.5,[25.5],25.8,25.6,1.0,25.8,25.0,26.0
2023-05-30 23:35:00,,,,,,,,,,,,,,
2023-05-30 23:40:00,,9.69,25.5,25.5,25.5,25.2,25.2,[25.2],25.5,25.5,1.0,25.5,24.0,26.0
2023-05-30 23:45:00,,9.79,26.1,25.7,25.96666666666667,25.4,25.4,[25.4],26.1,25.7,1.0,26.1,25.0,26.0
2023-05-30 23:50:00,,9.7,25.8,25.7,25.766666666666666,25.3,25.3,[25.3],25.8,25.7,1.0,25.8,24.0,26.0
2023-05-30 23:55:00,,9.56,25.5,25.5,25.5,25.2,25.2,[25.2],25.5,25.5,1.0,25.5,24.0,26.0
2023-05-31 00:00:00,,9.57,26.0,25.6,25.866666666666664,25.3,25.3,[25.3],26.0,25.6,1.0,26.0,25.0,26.0
2023-05-31 00:05:00,,9.58,26.0,26.0,26.0,25.4,25.4,[25.4],26.0,26.0,1.0,26.0,25.0,26.0
2023-05-31 00:10:00,,9.48,26.0,26.0,26.0,25.2,25.2,[25.2],26.0,26.0,1.0,26.0,24.0,26.0
2023-05-31 00:15:00,,9.55,25.8,25.6,25.73333333333333,25.2,25.2,[25.2],25.8,25.6,1.0,25.8,25.0,26.0
2023-05-31 00:20:00,,9.66,26.4,25.8,26.2,25.4,25.4,[25.4],26.4,25.8,1.0,26.4,26.0,26.0
2023-05-31 00:25:00,,10.0,26.0,26.0,26.0,25.3,25.3,[25.3],26.0,26.0,1.0,26.0,24.0,26.0
2023-05-31 00:30:00,,9.58,25.6,25.6,25.600000000000005,25.2,25.2,[25.2],25.6,25.6,1.0,25.6,24.0,26.0
2023-05-31 00:35:00,,9.51,26.1,25.6,25.933333333333337,25.4,25.4,[25.4],26.1,25.6,1.0,26.1,25.0,26.0
2023-05-31 00:40:00,,9.53,26.1,25.8,26.0,25.3,25.3,[25.3],26.1,25.8,1.0,26.1,24.0,26.0
2023-05-31 00:45:00,,9.760000000000002,25.4,25.4,25.399999999999995,25.1,25.1,[25.1],25.4,25.4,1.0,25.4,24.0,26.0
2023-05-31 00:50:00,,9.67,26.0,25.5,25.83333333333333,25.2,25.2,[25.2],26.0,25.5,1.0,26.0,25.0,26.0
2023-05-31 00:55:00,,9.54,26.0,25.8,25.933333333333334,25.3,25.3,[25.3],26.0,25.8,1.0,26.0,25.0,26.0
2023-05-31 01:00:00,,9.55,26.4,25.6,26.133333333333336,25.1,25.1,[25.1],26.4,25.6,1.0,26.4,23.0,26.0
2023-05-31 01:05:00,,9.48,25.6,25.4,25.53333333333333,25.1,25.1,[25.1],25.6,25.4,1.0,25.6,24.0,26.0
2023-05-31 01:10:00,,9.48,26.2,25.6,26.0,25.3,25.3,[25.3],26.2,25.6,1.0,26.2,25.0,26.0
2023-05-31 01:15:00,,9.51,26.2,25.6,26.0,25.2,25.2,[25.2],26.2,25.6,1.0,26.2,24.0,26.0
2023-05-31 01:20:00,,9.64,25.5,25.5,25.5,25.1,25.1,[25.1],25.5,25.5,1.0,25.5,24.0,26.0
2023-05-31 01:25:00,,9.51,26.0,25.5,25.83333333333333,25.2,25.2,[25.2],26.0,25.5,1.0,26.0,25.0,26.0
2023-05-31 01:30:00,,9.63,26.4,25.7,26.166666666666668,25.3,25.3,[25.3],26.4,25.7,1.0,26.4,25.0,26.0
2023-05-31 01:35:00,,9.52,25.6,25.6,25.600000000000005,25.1,25.1,[25.1],25.6,25.6,1.0,25.6,23.0,26.0
2023-05-31 01:40:00,,9.47,25.7,25.5,25.633333333333336,25.1,25.1,[25.1],25.7,25.5,1.0,25.7,25.0,26.0
2023-05-31 01:45:00,,9.59,26.3,25.6,26.066666666666663,25.3,25.3,[25.3],26.3,25.6,1.0,26.3,25.0,26.0
